image,label
ISIC_0059562,2
ISIC_0054615,2
ISIC_0062970,0
ISIC_0030643,1
ISIC_0027416,1
ISIC_0026640,1
ISIC_0032857,2
ISIC_0056276,1
ISIC_0031583,1
ISIC_0066148,2
ISIC_0027867,1
ISIC_0012749_downsampled,0
ISIC_0067961,1
ISIC_0028543,0
ISIC_0064223,2
ISIC_0029704,1
ISIC_0065051,2
ISIC_0063952,0
ISIC_0029197,1
ISIC_0015641_downsampled,1
ISIC_0000171,0
ISIC_0072586,0
ISIC_0054889,0
ISIC_0031045,1
ISIC_0032187,0
ISIC_0059474,2
ISIC_0033188,1
ISIC_0069671,0
ISIC_0061660,0
ISIC_0060340,0
ISIC_0066051,2
ISIC_0027337,2
ISIC_0061848,0
ISIC_0027816,1
ISIC_0072609,1
ISIC_0029292,1
ISIC_0033730,0
ISIC_0061577,2
ISIC_0060064,1
ISIC_0055024,0
ISIC_0028193,1
ISIC_0025752,2
ISIC_0024632,2
ISIC_0067366,1
ISIC_0033278,0
ISIC_0058723,0
ISIC_0057736,0
ISIC_0070295,2
ISIC_0056694,0
ISIC_0059559,2
ISIC_0069584,1
ISIC_0026233,1
ISIC_0033578,0
ISIC_0031402,1
ISIC_0026873,1
ISIC_0028084,2
ISIC_0061127,0
ISIC_0061105,2
ISIC_0058716,0
ISIC_0026973,1
ISIC_0062782,2
ISIC_0070974,0
ISIC_0062162,0
ISIC_0054162,1
ISIC_0031908,0
ISIC_0067159,0
ISIC_0027793,0
ISIC_0034191,1
ISIC_0062722,2
ISIC_0025261,1
ISIC_0064064,2
ISIC_0055546,0
ISIC_0071549,2
ISIC_0070190,2
ISIC_0071788,0
ISIC_0058644,0
ISIC_0069000,2
ISIC_0073200,2
ISIC_0033415,0
ISIC_0069867,1
ISIC_0064711,2
ISIC_0057609,0
ISIC_0061908,2
ISIC_0057409,2
ISIC_0063601,0
ISIC_0028056,0
ISIC_0054595,2
ISIC_0059628,0
ISIC_0056964,2
ISIC_0059241,2
ISIC_0029936,1
ISIC_0063666,2
ISIC_0054448,2
ISIC_0058553,2
ISIC_0031695,1
ISIC_0068160,2
ISIC_0033978,1
ISIC_0057487,1
ISIC_0005787_downsampled,1
ISIC_0010034,0
ISIC_0064993,0
ISIC_0065728,0
ISIC_0065463,0
ISIC_0065346,0
ISIC_0060648,0
ISIC_0030538,1
ISIC_0065889,0
ISIC_0071846,2
ISIC_0000174,0
ISIC_0055111,2
ISIC_0064830,2
ISIC_0058141,1
ISIC_0033206,0
ISIC_0059746,2
ISIC_0026946,1
ISIC_0069411,0
ISIC_0012982_downsampled,1
ISIC_0065929,2
ISIC_0067733,0
ISIC_0054815,1
ISIC_0060022,0
ISIC_0011104,1
ISIC_0069604,2
ISIC_0067170,0
ISIC_0032906,2
ISIC_0070887,1
ISIC_0064460,2
ISIC_0055564,1
ISIC_0056740,0
ISIC_0072723,1
ISIC_0057617,0
ISIC_0058433,0
ISIC_0034002,0
ISIC_0061346,2
ISIC_0056017,0
ISIC_0058833,2
ISIC_0058760,2
ISIC_0026968,2
ISIC_0029372,2
ISIC_0025301,2
ISIC_0057999,0
ISIC_0033570,0
ISIC_0068586,0
ISIC_0058060,2
ISIC_0033893,0
ISIC_0072942,2
ISIC_0015443_downsampled,1
ISIC_0071565,2
ISIC_0066598,2
ISIC_0030356,0
ISIC_0029201,2
ISIC_0025988,1
ISIC_0070283,0
ISIC_0031666,0
ISIC_0030224,1
ISIC_0060393,0
ISIC_0015124_downsampled,0
ISIC_0067070,2
ISIC_0069984,0
ISIC_0027446,1
ISIC_0061874,2
ISIC_0026870,0
ISIC_0010573,1
ISIC_0071536,0
ISIC_0015179_downsampled,1
ISIC_0061999,2
ISIC_0058630,0
ISIC_0061400,2
ISIC_0025844,1
ISIC_0058858,0
ISIC_0064747,2
ISIC_0064622,2
ISIC_0058349,2
ISIC_0032086,1
ISIC_0030406,1
ISIC_0055716,2
ISIC_0028744,1
ISIC_0027155,0
ISIC_0066932,2
ISIC_0070534,2
ISIC_0009950,0
ISIC_0070437,2
ISIC_0066790,2
ISIC_0033579,2
ISIC_0011161,0
ISIC_0014543_downsampled,0
ISIC_0056547,2
ISIC_0072244,1
ISIC_0066495,2
ISIC_0013987_downsampled,0
ISIC_0057390,0
ISIC_0059313,0
ISIC_0032633,1
ISIC_0067652,1
ISIC_0062224,2
ISIC_0062325,0
ISIC_0066558,2
ISIC_0024537,0
ISIC_0062196,0
ISIC_0058463,2
ISIC_0070301,2
ISIC_0026114,1
ISIC_0032911,1
ISIC_0062241,0
ISIC_0065668,0
ISIC_0025650,2
ISIC_0061791,0
ISIC_0070880,2
ISIC_0065990,2
ISIC_0065457,1
ISIC_0061555,2
ISIC_0072086,2
